player,odds
Michael van Gerwen,5.0
Gerwyn Price,5.5
Dimitri van den Bergh,10.0
Peter Wright,12.0
Jonny Clayton,21.0
Jose De Sousa,21.0
Nathan Aspinall,21.0
Gary Anderson,21.0
James Wade,26.0
Michael Smith,26.0
Dirk van Duijvenbode,29.0
Dave Chisnall,34.0
Joe Cullen,41.0
Devon Petersen,51.0
Daryl Gurney,51.0
Rob Cross,51.0
Krzysztof Ratajski,51.0
Luke Humphries,67.0
Damon Heta,67.0
Mervyn King,81.0
Glen Durrant,81.0
Simon Whitlock,81.0
Raymond van Barneveld,81.0
Stephen Bunting,101.0
Gabriel Clemens,101.0
Ian White,101.0
Chris Dobey,101.0
Mensur Suljovic,101.0
Adrian Lewis,101.0
Brendan Dolan,151.0
Danny Noppert,151.0
Jeffrey de Zwaan,151.0
Callan Rydz,151.0
Jermaine Wattimena,151.0
Ryan Searle,151.0
Ross Smith,151.0
Alan Soutar,151.0
Ryan Joyce,201.0
Vincent van der Voort,201.0
Martin Schindler,201.0
Kim Huybrechts,251.0
Ricky Evans,251.0
Madars Razma,251.0
Scott Waites,251.0
Scott Mitchell,251.0
Max Hopp,251.0
Martijn Kleermaker,251.0
Jason Lowe,251.0
Jamie Hughes,251.0
Jim Williams,301.0
Steve West,301.0
Keane Barry,301.0
Keegan Brown,301.0
Ritchie Edhouse,301.0
Luke Woodhouse,301.0
Steve Lennon,301.0
Nico Kurz,301.0
William OConnor,301.0
Ron Meulenkamp,301.0
Boris Krcmar,301.0
Andy Boulton,301.0
Matt Campbell,301.0
Josh Payne,301.0
Jelle Klaasen,301.0
Jeff Smith,301.0
John Henderson,301.0
Darius Labanauskas,301.0
Krzysztof Kciuk,301.0
Lewis Williams,301.0
Geert Nentjes,401.0
Darren Webster,401.0
Karel Sedlacek,401.0
Steve Beaton,401.0
James Richardson,401.0
Danny Baggish,401.0
Nick Kenny,401.0
Niels Zonneveld,401.0
Adam Hunt,401.0
Matthew Edgar,401.0
Ryan Murray,401.0
Mike de Decker,401.0
Benito van de Pas,401.0
Ryan Meikle,401.0
David Evans,401.0
Rowby-John Rodriguez,401.0
Ted Evetts,401.0
Justin Pipe,401.0
Andy Hamilton,501.0
Jamie Lewis,501.0
Seigo Asada,501.0
Ciaran Teehan,501.0
Arron Monk,501.0
Mark McGeeney,501.0
Daniel Larsson,501.0
Wayne Jones,501.0
Lourence Ilagan,501.0
Maik Kuivenhoven,501.0
Kim Viljanen,501.0
Bradley Brooks,501.0
Marko Kantele,501.0
Mickey Mansell,501.0
Daniel Lauby,501.0
Kai Fan Leung,501.0
Harry Ward,501.0
Derk Telnekes,501.0
John Brown,501.0
Michael Unterbuchner,501.0
Florian Hempel,501.0
Zoran Lerchbacher,501.0
Adam Gawlas,501.0
Jake Jones,501.0
Berry van Peer,501.0
William Borland,501.0
Steffen Siepmann,501.0
John Michael,501.0
Cristo Reyes,501.0
Boris Koltsov,501.0
Peter Jacques,501.0
Steve Brown,501.0
Jack Main,501.0
Jesus Noguera,501.0
Peter Hudson,501.0
Wesley Harms,501.0
Brett Claydon,501.0
Jason Heaver,501.0
Joe Murnan,501.0
Gordon Mathers,501.0
Harald Leitinger,501.0
Geert De Vos,501.0
Martin Lukeman,501.0
Darren Penhall,501.0
Alan Tabern,501.0
Aaron Beeney,501.0
James Wilson,501.0
Jonathan Worsley,501.0
Gary Blades,501.0
Eddie Lovely,501.0
Andrew Gilding,501.0
Martin Atkins,501.0
Kirk Shepherd,501.0
Robert Marijanovic,751.0
Lisa Ashton,1001.0
Mikuru Suzuki,1001.0
Anastasia Dobromyslova,1001.0
Diogo Portela,1001.0
Paul Lim,1001.0
Fallon Sherrock,1001.0
