rank,name,country,prize,log prize,inv prize
1,Michael van Gerwen,Netherlands,8321167,15.934313067384334,1.201754513519558e-07
2,Phil Taylor,England,7630816,15.84770534380704,1.310475839019051e-07
3,Gary Anderson,Scotland,4118772,15.231065618645093,2.427908124071932e-07
4,Raymond van Barneveld,Netherlands,3510128,15.071163062013602,2.8488989575308937e-07
5,Peter Wright,Scotland,3470888,15.059921026965212,2.8811070826831635e-07
6,James Wade,England,3458893,15.056459153644951,2.891098394775438e-07
7,Adrian Lewis,England,3137634,14.958979570673513,3.1871148770060495e-07
8,Simon Whitlock,Australia,2149499,14.580745349693894,4.652246872410734e-07
9,Dave Chisnall,England,1963415,14.49019586201987,5.093166752826071e-07
10,Michael Smith,England,1769935,14.386453380711858,5.649924997245662e-07
11,Mervyn King,England,1733358,14.36557112555152,5.769148669807391e-07
12,Rob Cross,England,1622600,14.299540358943101,6.162948354492789e-07
13,Gerwyn Price,Wales,1497803,14.219509925733039,6.676445433745293e-07
14,Mensur Suljovic,Austria,1418867,14.16536922377199,7.04787693279215e-07
15,Daryl Gurney,Northern Ireland,1359200,14.122406849339859,7.357268981753973e-07
16,Terry Jenkins,England,1348883,14.114787400516763,7.413541426498815e-07
17,Robert Thornton,Scotland,1315126,14.089443036494293,7.603834157335495e-07
18,Ian White,England,1235808,14.027235565127471,8.091871876537456e-07
19,Steve Beaton,England,1109305,13.919244251063569,9.014653318969986e-07
20,Andy Hamilton,England,1089788,13.901493739875797,9.176096635308886e-07
21,Kim Huybrechts,Belgium,1067212,13.88056019845809,9.370209480403144e-07
22,Stephen Bunting,England,1053513,13.867640851969895,9.492051830399814e-07
23,Vincent van der Voort,Netherlands,1030450,13.845506157999655,9.704498034839148e-07
24,Jelle Klaasen,Netherlands,1007796,13.82327632617928,9.922643074590493e-07
25,John Part,Canada,951176,13.765454392753599,1.051330142896793e-06
26,Kevin Painter,England,926471,13.739138023624045,1.0793645996474796e-06
27,Ronnie Baxter,England,897032,13.706846814875071,1.1147874323324029e-06
28,Mark Webster,Wales,894214,13.70370039911215,1.1183005410338018e-06
29,Wes Newton,England,878116,13.685533982341404,1.1388017072915195e-06
30,Glen Durrant,England,863872,13.669179888663024,1.1575789005778633e-06
31,Colin Lloyd,England,853774,13.657421800745814,1.1712701487747343e-06
32,Brendan Dolan,Northern Ireland,847089,13.649561044855458,1.1805134997621265e-06
33,Justin Pipe,England,751325,13.52959359345916,1.3309819319202742e-06
34,Martin Adams,England,740557,13.515157884744447,1.3503349505844925e-06
35,Joe Cullen,England,680344,13.43035383158989,1.469844666815611e-06
36,Scott Waites,England,679769,13.429508313556823,1.4710879725318454e-06
37,Dennis Priestley,England,625469,13.34625704730923,1.5988002602846824e-06
38,Darren Webster,England,616526,13.331855774257678,1.6219916110593877e-06
39,Nathan Aspinall,England,607925,13.31780679807626,1.6449397540815067e-06
40,Mark Walsh,England,599292,13.30350423745012,1.6686356567416218e-06
41,Dimitri van den Bergh,Belgium,591804,13.29093077796562,1.6897486329933559e-06
42,Wayne Jones,England,587186,13.283096914036365,1.703037878968504e-06
43,Jamie Caven,England,582520,13.275118798596516,1.7166792556478748e-06
44,Paul Nicholson,Australia,581666,13.273651678818092,1.7191996781658203e-06
45,Benito van de Pas,Netherlands,554346,13.225544319516487,1.8039275109768988e-06
46,Alan Norris,England,539662,13.198698296641117,1.8530116999158733e-06
47,John Henderson,Scotland,535131,13.190266855717956,1.8687013086515264e-06
48,Jonny Clayton,Wales,524300,13.169819318560624,1.9073049780659928e-06
49,Kyle Anderson,Australia,513176,13.148374145236474,1.9486491963770716e-06
50,Peter Manley,England,511336,13.14478218735149,1.955661248181235e-06
51,Roland Scholten,Netherlands,488750,13.099606390281712,2.0460358056265983e-06
52,Andy Smith,England,468752,13.057829122924321,2.133324231149947e-06
53,Wayne Mardle,England,450831,13.018847825420531,2.2181260827227943e-06
54,Colin Osborne,England,448207,13.01301045825467,2.231111963891684e-06
55,Alan Tabern,England,443150,13.001663592166544,2.256572266726842e-06
56,Max Hopp,Germany,439148,12.99259176508236,2.277136637306785e-06
57,Richie Burnett,Wales,435545,12.984353399442883,2.2959740095742114e-06
