player,odds
Gerwyn Price,350
Michael van Gerwen,350
Peter Wright,900
Dimitri van den Bergh,1000
Gary Anderson,1400
Jonny Clayton,1800
Nathan Aspinall,2000
Jose Oliveira De Sousa,2000
Michael Smith,2500
Dirk van Duijvenbode,2800
James Wade,3300
Dave Chisnall,4000
Joe Cullen,4000
Luke Humphries,4000
Rob Cross,5000
Krzysztof Ratajski,5000
Glen Durrant,6600
Daryl Gurney,6600
Damon Heta,6600
Mervyn King,6600
Devon Petersen,6600
Raymond van Barneveld,6600
Gabriel Clemens,8000
Adrian Lewis,10000
Ian White,10000
Simon Whitlock,10000
Brendan Dolan,12500
Vincent van der Voort,12500
Stephen Bunting,15000
Ryan Searle,15000
Mensur Suljovic,15000
Jeffrey de Zwaan,15000
Chris Dobey,20000
Max Hopp,20000
Kim Huybrechts,20000
Jelle Klaasen,20000
Jamie Lewis,20000
Ross Smith,20000
Jermaine Wattimena,20000
Ricky Evans,25000
Jamie Hughes,25000
Ryan Joyce,25000
Darius Labanauskas,25000
Steve Beaton,30000
Andy Boulton,30000
John Henderson,30000
Steve Lennon,30000
Ron Meulenkamp,30000
Danny Noppert,30000
William O Connor,30000
Luke Woodhouse,30000
Keegan Brown,50000
Ted Evetts,50000
Mickey Mansell,50000
Josh Payne,50000
Madars Razma,50000
Steve West,50000
Benito van de Pas,50000
